Procesa_grupa,Darbibas_joma,Process,Procesa_galaprodukti,Procesa_izpilditajs-patstaviga_strukturvieniba
Atbalsts,Iestādes pārvaldība un iekšējā kontrole,Citu nodarbinātā pienākumu veikšana,"Dalība sanāksmēs, komisijās un darba grupās",ITP
Atbalsts,Iestādes pārvaldība un iekšējā kontrole,Citu nodarbinātā pienākumu veikšana,"Dalība sanāksmēs, komisijās un darba grupās",ISDPD
Atbalsts,Iestādes pārvaldība un iekšējā kontrole,Citu nodarbinātā pienākumu veikšana,"Dalība sanāksmēs, komisijās un darba grupās",JPSIP
Atbalsts,Iestādes pārvaldība un iekšējā kontrole,Citu nodarbinātā pienākumu veikšana,"Dalība sanāksmēs, komisijās un darba grupās",MP
Atbalsts,Iestādes pārvaldība un iekšējā kontrole,Citu nodarbinātā pienākumu veikšana,"Dalība sanāksmēs, komisijās un darba grupās",NSUP
Atbalsts,Iestādes pārvaldība un iekšējā kontrole,Citu nodarbinātā pienākumu veikšana,"Dalība sanāksmēs, komisijās un darba grupās",NMUAPP
Atbalsts,Iestādes pārvaldība un iekšējā kontrole,Citu nodarbinātā pienākumu veikšana,"Dalība sanāksmēs, komisijās un darba grupās",NNVP
Atbalsts,Iestādes pārvaldība un iekšējā kontrole,Citu nodarbinātā pienākumu veikšana,"Dalība sanāksmēs, komisijās un darba grupās",NP
Atbalsts,Iestādes pārvaldība un iekšējā kontrole,Citu nodarbinātā pienākumu veikšana,"Dalība sanāksmēs, komisijās un darba grupās",SNASLD
Atbalsts,Iestādes pārvaldība un iekšējā kontrole,Citu nodarbinātā pienākumu veikšana,Citu uzdevumu izpilde (neattiecas uz konkrētiem procesiem),AP
Atbalsts,Iestādes pārvaldība un iekšējā kontrole,Citu nodarbinātā pienākumu veikšana,Citu uzdevumu izpilde (neattiecas uz konkrētiem procesiem),APP
Atbalsts,Iestādes pārvaldība un iekšējā kontrole,Citu nodarbinātā pienākumu veikšana,Citu uzdevumu izpilde (neattiecas uz konkrētiem procesiem),IAD
Atbalsts,Iestādes pārvaldība un iekšējā kontrole,Citu nodarbinātā pienākumu veikšana,Citu uzdevumu izpilde (neattiecas uz konkrētiem procesiem),IKD
Atbalsts,Iestādes pārvaldība un iekšējā kontrole,Citu nodarbinātā pienākumu veikšana,Citu uzdevumu izpilde (neattiecas uz konkrētiem procesiem),ITP
Atbalsts,Iestādes pārvaldība un iekšējā kontrole,Citu nodarbinātā pienākumu veikšana,Citu uzdevumu izpilde (neattiecas uz konkrētiem procesiem),ISDPD
Atbalsts,Iestādes pārvaldība un iekšējā kontrole,Citu nodarbinātā pienākumu veikšana,Citu uzdevumu izpilde (neattiecas uz konkrētiem procesiem),JPSIP
Atbalsts,Iestādes pārvaldība un iekšējā kontrole,Citu nodarbinātā pienākumu veikšana,Citu uzdevumu izpilde (neattiecas uz konkrētiem procesiem),MP
Atbalsts,Iestādes pārvaldība un iekšējā kontrole,Citu nodarbinātā pienākumu veikšana,Citu uzdevumu izpilde (neattiecas uz konkrētiem procesiem),NSUP
Atbalsts,Iestādes pārvaldība un iekšējā kontrole,Citu nodarbinātā pienākumu veikšana,Citu uzdevumu izpilde (neattiecas uz konkrētiem procesiem),NMUAPP
Atbalsts,Iestādes pārvaldība un iekšējā kontrole,Citu nodarbinātā pienākumu veikšana,Citu uzdevumu izpilde (neattiecas uz konkrētiem procesiem),NNVP
Atbalsts,Iestādes pārvaldība un iekšējā kontrole,Citu nodarbinātā pienākumu veikšana,Citu uzdevumu izpilde (neattiecas uz konkrētiem procesiem),NP
Atbalsts,Iestādes pārvaldība un iekšējā kontrole,Citu nodarbinātā pienākumu veikšana,Citu uzdevumu izpilde (neattiecas uz konkrētiem procesiem),SNASLD
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Pakalpojumu vadības īstenošana,Nodrošināts aktuāls VID pakalpojumu saraksts,APP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Pakalpojumu vadības īstenošana,Nodrošināts aktuāls VID pakalpojuma apraksts,APP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Pakalpojumu vadības īstenošana,Veikta izpēte un noteikti risinājumi pakalpojumu pilnveidei,APP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Saimnieciskā un resursu nodrošinājuma pārvaldība,Nodrošināti akcīzes marku krājumi,NP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Saimnieciskā un resursu nodrošinājuma pārvaldība,Nodrošināti stingrās uzskaites plombu krājumi,NP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Saimnieciskā un resursu nodrošinājuma pārvaldība,Nodrošināti prezentācijas priekšmetu krājumi,APP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Saimnieciskā un resursu nodrošinājuma pārvaldība,Nodrošināti materiāltehniskie resursi,AP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Saimnieciskā un resursu nodrošinājuma pārvaldība,Nodrošināta transportlīdzekļu pārvaldība,AP
Pārvaldība,IT pārvaldība,Saimnieciskā un resursu nodrošinājuma pārvaldība,Uzturēta IKT infrastruktūra,ITP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Saimnieciskā un resursu nodrošinājuma pārvaldība,Pārvaldīts VID lietojamais nekustamais īpašums,AP
Pārvaldība,Nenodokļu maksājumi un īpaši regulētās jomas,Saimnieciskā un resursu nodrošinājuma pārvaldība,Veikta valsts piekritīgās mantas realizācija,AP
Pārvaldība,Nenodokļu maksājumi un īpaši regulētās jomas,Saimnieciskā un resursu nodrošinājuma pārvaldība,Veikta valsts piekritīgās mantas iznīcināšana,AP
Pārvaldība,Nenodokļu maksājumi un īpaši regulētās jomas,Saimnieciskā un resursu nodrošinājuma pārvaldība,Atsavināta valsts piekritīgā manta bez atlīdzības,AP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,VID iekšējā audita veikšana,Pabeigts/ atcelts VID iekšējais audits,IAD
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Finanšu vadības īstenošana,Administrēts VID kopējais budžets,AP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Finanšu vadības īstenošana,Administrēts VID kopējais budžets,ITP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Finanšu vadības īstenošana,Administrēts VID kopējais budžets,ISDPD
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,"VID iekšējās uzraudzības īstenošana
",Veikta pārbaude par VID nodarbināto,IKD
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,"VID iekšējās uzraudzības īstenošana
",Veikta uzraudzība par klientu apkalpošanas kvalitāti,NP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,"VID iekšējās uzraudzības īstenošana
",Veikta uzraudzība par klientu apkalpošanas kvalitāti,AP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,"VID iekšējās uzraudzības īstenošana
",Veikta uzraudzība par klientu apkalpošanas kvalitāti,SNASLD
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,"VID iekšējās uzraudzības īstenošana
",Veikta procesa uzraudzība,NP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,"VID iekšējās uzraudzības īstenošana
",Veikta procesa uzraudzība,MP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,"VID iekšējās uzraudzības īstenošana
",Veikta procesa uzraudzība,NNVP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,"VID iekšējās uzraudzības īstenošana
",Veikta procesa uzraudzība,NSUP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,"VID iekšējās uzraudzības īstenošana
",Veikta procesa uzraudzība,SNASLD
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,"VID iekšējās uzraudzības īstenošana
",Veikta dienesta pārbaude,IKD
Pārvaldība,Administratīvā atbildība un sankcijas,"VID iekšējās uzraudzības īstenošana
",Piedzīts VID nodarītais zaudējums,JPSIP
Pārvaldība,Administratīvā atbildība un sankcijas,"VID iekšējās uzraudzības īstenošana
",Piedzīts VID nodarītais zaudējums,APP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,VID darbības plānošana,Izstrādāts/ aktualizēts VID darba plāns,APP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,VID darbības plānošana,Izstrādāta/ aktualizēta VID stratēģija,APP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,VID darbības plānošana,Izstrādāts/ aktualizēts struktūrvienību limeņa plānošanas dokuments,ITP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,VID darbības plānošana,Izstrādāts/ aktualizēts struktūrvienību limeņa plānošanas dokuments,MP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,VID darbības plānošana,Izstrādāts/ aktualizēts struktūrvienību limeņa plānošanas dokuments,NNVP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,VID darbības plānošana,Izstrādāts/ aktualizēts struktūrvienību limeņa plānošanas dokuments,NP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,VID darbības plānošana,Izstrādāts/ aktualizēts struktūrvienību limeņa plānošanas dokuments,NMUAPP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,VID darbības plānošana,Izstrādāts/ aktualizēts struktūrvienību limeņa plānošanas dokuments,IKD
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,VID darbības plānošana,Izstrādāts/ aktualizēts struktūrvienību limeņa plānošanas dokuments,APP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,VID darbības plānošana,Izstrādāts/ aktualizēts struktūrvienību limeņa plānošanas dokuments,AP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,VID darbības novērtēšana,Novērtēta iekšējā audita stratēģiskā plāna izpilde,IAD
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,VID darbības novērtēšana,Novērtēta IKT darbības nepārtrauktības un atjaunošanas plāna izpilde,ITP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,VID darbības novērtēšana,Novērtēta IKT darbības nepārtrauktības un atjaunošanas plāna izpilde,ISDPD
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,VID darbības novērtēšana,Novērtēta VID darba plāna izpilde,APP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,VID darbības novērtēšana,Novērtēti tiesas nolēmumi un VID lēmumi,JPSIP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,VID darbības novērtēšana,Novērtēta iekšējo un ārējo auditoru ieteikumu ieviešana,IAD
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,VID darbības novērtēšana,Sagatavots pārskats par VID personālu,APP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,VID darbības novērtēšana,Veikta VID aptauja/ pētījums un novērtēti tā rezultāti,APP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,VID iekšējo dokumentu izstrādāšana,Izstrādāts VID iekšējais dokuments,AP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,VID iekšējo dokumentu izstrādāšana,Izstrādāts VID iekšējais dokuments,APP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,VID iekšējo dokumentu izstrādāšana,Izstrādāts VID iekšējais dokuments,IAD
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,VID iekšējo dokumentu izstrādāšana,Izstrādāts VID iekšējais dokuments,IKD
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,VID iekšējo dokumentu izstrādāšana,Izstrādāts VID iekšējais dokuments,ITP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,VID iekšējo dokumentu izstrādāšana,Izstrādāts VID iekšējais dokuments,ISDPD
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,VID iekšējo dokumentu izstrādāšana,Izstrādāts VID iekšējais dokuments,JPSIP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,VID iekšējo dokumentu izstrādāšana,Izstrādāts VID iekšējais dokuments,MP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,VID iekšējo dokumentu izstrādāšana,Izstrādāts VID iekšējais dokuments,NSUP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,VID iekšējo dokumentu izstrādāšana,Izstrādāts VID iekšējais dokuments,NMUAPP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,VID iekšējo dokumentu izstrādāšana,Izstrādāts VID iekšējais dokuments,NNVP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,VID iekšējo dokumentu izstrādāšana,Izstrādāts VID iekšējais dokuments,NP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,VID iekšējo dokumentu izstrādāšana,Izstrādāts VID iekšējais dokuments,SNASLD
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Procesu vadības īstenošana,Nodrošināts aktuāls procesa reģistrs,APP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Procesu vadības īstenošana,Nodrošināta procesu rādītāju/ mērījumu uzskaite,AP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Procesu vadības īstenošana,Nodrošināta procesu rādītāju/ mērījumu uzskaite,APP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Procesu vadības īstenošana,Nodrošināta procesu rādītāju/ mērījumu uzskaite,IAD
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Procesu vadības īstenošana,Nodrošināta procesu rādītāju/ mērījumu uzskaite,IKD
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Procesu vadības īstenošana,Nodrošināta procesu rādītāju/ mērījumu uzskaite,ITP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Procesu vadības īstenošana,Nodrošināta procesu rādītāju/ mērījumu uzskaite,ISDPD
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Procesu vadības īstenošana,Nodrošināta procesu rādītāju/ mērījumu uzskaite,JPSIP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Procesu vadības īstenošana,Nodrošināta procesu rādītāju/ mērījumu uzskaite,MP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Procesu vadības īstenošana,Nodrošināta procesu rādītāju/ mērījumu uzskaite,NSUP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Procesu vadības īstenošana,Nodrošināta procesu rādītāju/ mērījumu uzskaite,NMUAPP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Procesu vadības īstenošana,Nodrošināta procesu rādītāju/ mērījumu uzskaite,NNVP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Procesu vadības īstenošana,Nodrošināta procesu rādītāju/ mērījumu uzskaite,NP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Procesu vadības īstenošana,Nodrošināta procesu rādītāju/ mērījumu uzskaite,SNASLD
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Procesu vadības īstenošana,Izstrādāta/ aktualizēta procesa plūsmas shēma,AP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Procesu vadības īstenošana,Izstrādāta/ aktualizēta procesa plūsmas shēma,APP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Procesu vadības īstenošana,Izstrādāta/ aktualizēta procesa plūsmas shēma,IAD
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Procesu vadības īstenošana,Izstrādāta/ aktualizēta procesa plūsmas shēma,IKD
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Procesu vadības īstenošana,Izstrādāta/ aktualizēta procesa plūsmas shēma,ITP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Procesu vadības īstenošana,Izstrādāta/ aktualizēta procesa plūsmas shēma,ISDPD
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Procesu vadības īstenošana,Izstrādāta/ aktualizēta procesa plūsmas shēma,JPSIP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Procesu vadības īstenošana,Izstrādāta/ aktualizēta procesa plūsmas shēma,MP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Procesu vadības īstenošana,Izstrādāta/ aktualizēta procesa plūsmas shēma,NSUP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Procesu vadības īstenošana,Izstrādāta/ aktualizēta procesa plūsmas shēma,NMUAPP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Procesu vadības īstenošana,Izstrādāta/ aktualizēta procesa plūsmas shēma,NNVP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Procesu vadības īstenošana,Izstrādāta/ aktualizēta procesa plūsmas shēma,NP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Procesu vadības īstenošana,Izstrādāta/ aktualizēta procesa plūsmas shēma,SNASLD
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Procesu vadības īstenošana,Veikta izpēte un noteikti risinājumi procesa pilnveidei,AP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Procesu vadības īstenošana,Veikta izpēte un noteikti risinājumi procesa pilnveidei,APP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Procesu vadības īstenošana,Veikta izpēte un noteikti risinājumi procesa pilnveidei,IAD
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Procesu vadības īstenošana,Veikta izpēte un noteikti risinājumi procesa pilnveidei,IKD
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Procesu vadības īstenošana,Veikta izpēte un noteikti risinājumi procesa pilnveidei,ITP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Procesu vadības īstenošana,Veikta izpēte un noteikti risinājumi procesa pilnveidei,ISDPD
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Procesu vadības īstenošana,Veikta izpēte un noteikti risinājumi procesa pilnveidei,JPSIP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Procesu vadības īstenošana,Veikta izpēte un noteikti risinājumi procesa pilnveidei,MP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Procesu vadības īstenošana,Veikta izpēte un noteikti risinājumi procesa pilnveidei,NSUP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Procesu vadības īstenošana,Veikta izpēte un noteikti risinājumi procesa pilnveidei,NMUAPP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Procesu vadības īstenošana,Veikta izpēte un noteikti risinājumi procesa pilnveidei,NNVP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Procesu vadības īstenošana,Veikta izpēte un noteikti risinājumi procesa pilnveidei,NP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Procesu vadības īstenošana,Veikta izpēte un noteikti risinājumi procesa pilnveidei,SNASLD
Pārvaldība,Nodokļu un nodevu administrēšana,Risku vadības īstenošana,Pārvaldīti nodokļu jomas riski,NMUAPP
Pārvaldība,Muitas lietu administrēšana,Risku vadības īstenošana,Pārvaldīti muitas jomas riski,MP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Risku vadības īstenošana,Pārvaldīti organizatoriskie riski,APP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Risku vadības īstenošana,Pārvaldīti korupcijas un interešu konflikta riski,IDP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Risku vadības īstenošana,Pārvaldīti stratēģiskās vadības līmeņa riski,APP
Pārvaldība,IT pārvaldība,Risku vadības īstenošana,Pārvaldīti VID IS un IKT projektu riski,ITP
Pārvaldība,Muitas lietu administrēšana,Risku vadības īstenošana,Pārvaldīti muitas projektu riski,MP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Personāla vadības īstenošana,Veikta amatu klasificēšana,APP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Personāla vadības īstenošana,Izsniegta izziņa ,APP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Personāla vadības īstenošana,Izsniegta/ anulēta dienesta apliecība,APP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Personāla vadības īstenošana,Izsniegta viedkarte,APP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Personāla vadības īstenošana,Izvērtēts personāls,APP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Personāla vadības īstenošana,Piešķirta dienesta pakāpe,APP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Personāla vadības īstenošana,Noteikts mēnešalgas vai piemaksas apmērs,APP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Personāla vadības īstenošana,Noteikts mēnešalgas vai piemaksas apmērs,AP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Personāla vadības īstenošana,Piešķirta attaisnota prombūtne,APP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Personāla vadības īstenošana,Saplānoti atvaļinājumi,APP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Personāla vadības īstenošana,Organizētas obligātās veselības pārbaudes,APP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Personāla vadības īstenošana,Organizēta personāla atlase,APP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Personāla vadības īstenošana,Organizēti pasākumi VID nodarbināto profesionālajai pilnveidei,APP
Pārvaldība,IT pārvaldība,Projektu vadības īstenošana,Īstenots/ nav īstenots VID IS un IKT projekts,ITP
Pārvaldība,Muitas lietu administrēšana,Projektu vadības īstenošana,Īstenots/ nav īstenots muitas projekts ,MP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Struktūrvienības darbības koordinēšana un kontrole,"Īstenoti noteiktie darba uzdevumi
",AP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Struktūrvienības darbības koordinēšana un kontrole,"Īstenoti noteiktie darba uzdevumi
",APP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Struktūrvienības darbības koordinēšana un kontrole,"Īstenoti noteiktie darba uzdevumi
",IAD
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Struktūrvienības darbības koordinēšana un kontrole,"Īstenoti noteiktie darba uzdevumi
",IKD
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Struktūrvienības darbības koordinēšana un kontrole,"Īstenoti noteiktie darba uzdevumi
",ITP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Struktūrvienības darbības koordinēšana un kontrole,"Īstenoti noteiktie darba uzdevumi
",ISDPD
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Struktūrvienības darbības koordinēšana un kontrole,"Īstenoti noteiktie darba uzdevumi
",JPSIP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Struktūrvienības darbības koordinēšana un kontrole,"Īstenoti noteiktie darba uzdevumi
",MP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Struktūrvienības darbības koordinēšana un kontrole,"Īstenoti noteiktie darba uzdevumi
",NSUP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Struktūrvienības darbības koordinēšana un kontrole,"Īstenoti noteiktie darba uzdevumi
",NMUAPP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Struktūrvienības darbības koordinēšana un kontrole,"Īstenoti noteiktie darba uzdevumi
",NNVP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Struktūrvienības darbības koordinēšana un kontrole,"Īstenoti noteiktie darba uzdevumi
",NP
Pārvaldība,Iestādes pārvaldība un iekšējā kontrole,Struktūrvienības darbības koordinēšana un kontrole,"Īstenoti noteiktie darba uzdevumi
",SNASLD
